sequential, 1, 8, 5e-06
parallel, 1, 8, 4.8e-05
simd, 1, 8, 5e-05
parallel, 2, 8, 0.000168
simd, 2, 8, 0.000155
parallel, 4, 8, 0.000199
simd, 4, 8, 0.000189
parallel, 8, 8, 0.000306
simd, 8, 8, 0.000242
sequential, 1, 128, 1.3e-05
parallel, 1, 128, 6.3e-05
simd, 1, 128, 7.6e-05
parallel, 2, 128, 0.000198
simd, 2, 128, 0.00017
parallel, 4, 128, 0.000261
simd, 4, 128, 0.000257
parallel, 8, 128, 0.000299
simd, 8, 128, 0.000291
sequential, 1, 2048, 0.000143
parallel, 1, 2048, 0.000222
simd, 1, 2048, 0.000196
parallel, 2, 2048, 0.000399
simd, 2, 2048, 0.000359
parallel, 4, 2048, 0.000553
simd, 4, 2048, 0.000569
parallel, 8, 2048, 0.000658
simd, 8, 2048, 0.000708
sequential, 1, 32768, 0.002865
parallel, 1, 32768, 0.00327
simd, 1, 32768, 0.001247
parallel, 2, 32768, 0.002128
simd, 2, 32768, 0.001499
parallel, 4, 32768, 0.001824
simd, 4, 32768, 0.002075
parallel, 8, 32768, 0.011566
simd, 8, 32768, 0.009215
sequential, 1, 524288, 0.049871
parallel, 1, 524288, 0.050317
simd, 1, 524288, 0.021032
parallel, 2, 524288, 0.027412
simd, 2, 524288, 0.009165
parallel, 4, 524288, 0.014467
simd, 4, 524288, 0.006605
parallel, 8, 524288, 0.007673
simd, 8, 524288, 0.008174
sequential, 1, 8388608, 0.915665
parallel, 1, 8388608, 0.897139
parallel, 2, 8388608, 0.470449
parallel, 4, 8388608, 0.255172
parallel, 8, 8388608, 0.213477
sequential, 1, 134217728, 14.6711
parallel, 1, 134217728, 14.378
parallel, 2, 134217728, 7.32861
parallel, 4, 134217728, 4.01375
parallel, 8, 134217728, 3.50685
